year,lcm_county_id,hh_size,total_number_of_households
2010,48021,one,5491
2010,48053,one,3768
2010,48055,one,2728
2010,48209,one,12570
2010,48453,one,124055
2010,48491,one,29885
2010,48021,two,8894
2010,48053,two,6614
2010,48055,two,3859
2010,48209,two,17215
2010,48453,two,124759
2010,48491,two,46469
2010,48021,three,4184
2010,48053,three,2611
2010,48055,three,1897
2010,48209,three,8471
2010,48453,three,56923
2010,48491,three,24271
2010,48021,four or more,6645
2010,48053,four or more,3322
2010,48055,four or more,2924
2010,48209,four or more,12223
2010,48453,four or more,85125
2010,48491,four or more,41485
2011,48021,one,5770
2011,48053,one,3621
2011,48055,one,3146
2011,48209,one,13138
2011,48453,one,124131
2011,48491,one,31258
2011,48021,two,8852
2011,48053,two,6655
2011,48055,two,3633
2011,48209,two,17389
2011,48453,two,129191
2011,48491,two,48832
2011,48021,three,4073
2011,48053,three,2689
2011,48055,three,1855
2011,48209,three,8762
2011,48453,three,59930
2011,48491,three,25555
2011,48021,four or more,6827
2011,48053,four or more,3512
2011,48055,four or more,2830
2011,48209,four or more,13428
2011,48453,four or more,86427
2011,48491,four or more,42267
2012,48021,one,5783
2012,48053,one,4057
2012,48055,one,2983
2012,48209,one,13121
2012,48453,one,123836
2012,48491,one,33160
2012,48021,two,8808
2012,48053,two,6698
2012,48055,two,3748
2012,48209,two,18099
2012,48453,two,132442
2012,48491,two,49897
2012,48021,three,3935
2012,48053,three,2543
2012,48055,three,2040
2012,48209,three,9366
2012,48453,three,61032
2012,48491,three,25637
2012,48021,four or more,6945
2012,48053,four or more,3350
2012,48055,four or more,2869
2012,48209,four or more,13957
2012,48453,four or more,88096
2012,48491,four or more,42658
2013,48021,one,5686
2013,48053,one,3986
2013,48055,one,3002
2013,48209,one,13483
2013,48453,one,125385
2013,48491,one,33668
2013,48021,two,8957
2013,48053,two,6886
2013,48055,two,3736
2013,48209,two,19451
2013,48453,two,136069
2013,48491,two,51061
2013,48021,three,3846
2013,48053,three,2379
2013,48055,three,2074
2013,48209,three,9628
2013,48453,three,61566
2013,48491,three,26948
2013,48021,four or more,6943
2013,48053,four or more,3337
2013,48055,four or more,2781
2013,48209,four or more,13897
2013,48453,four or more,88856
2013,48491,four or more,43271
2014,48021,one,5656
2014,48053,one,4226
2014,48055,one,2829
2014,48209,one,13628
2014,48453,one,129035
2014,48491,one,35100
2014,48021,two,8817
2014,48053,two,6900
2014,48055,two,4001
2014,48209,two,20107
2014,48453,two,137105
2014,48491,two,51804
2014,48021,three,3898
2014,48053,three,2272
2014,48055,three,2243
2014,48209,three,10093
2014,48453,three,63068
2014,48491,three,27411
2014,48021,four or more,6943
2014,48053,four or more,3376
2014,48055,four or more,2986
2014,48209,four or more,14921
2014,48453,four or more,90288
2014,48491,four or more,43968
2015,48021,one,5802
2015,48053,one,4159
2015,48055,one,2843
2015,48209,one,14156
2015,48453,one,131962
2015,48491,one,36358
2015,48021,two,8810
2015,48053,two,7177
2015,48055,two,4268
2015,48209,two,21445
2015,48453,two,140132
2015,48491,two,53060
2015,48021,three,3660
2015,48053,three,2055
2015,48055,three,2130
2015,48209,three,10207
2015,48453,three,64935
2015,48491,three,28042
2015,48021,four or more,7182
2015,48053,four or more,3549
2015,48055,four or more,3210
2015,48209,four or more,15552
2015,48453,four or more,91191
2015,48491,four or more,44333
2016,48021,one,5993
2016,48053,one,4004
2016,48055,one,2930
2016,48209,one,14485
2016,48453,one,136399
2016,48491,one,37657
2016,48021,two,8710
2016,48053,two,7091
2016,48055,two,4230
2016,48209,two,22980
2016,48453,two,144930
2016,48491,two,54396
2016,48021,three,3629
2016,48053,three,2018
2016,48055,three,1975
2016,48209,three,11198
2016,48453,three,64538
2016,48491,three,28815
2016,48021,four or more,7490
2016,48053,four or more,3186
2016,48055,four or more,3529
2016,48209,four or more,15661
2016,48453,four or more,91964
2016,48491,four or more,44557
2017,48021,one,4730
2017,48053,one,3855
2017,48055,one,3020
2017,48209,one,17479
2017,48453,one,140310
2017,48491,one,42037
2017,48021,two,8344
2017,48053,two,7006
2017,48055,two,4192
2017,48209,two,25823
2017,48453,two,157441
2017,48491,two,59106
2017,48021,three,3425
2017,48053,three,1982
2017,48055,three,1831
2017,48209,three,12816
2017,48453,three,67001
2017,48491,three,31062
2017,48021,four or more,7750
2017,48053,four or more,2860
2017,48055,four or more,3880
2017,48209,four or more,18877
2017,48453,four or more,97880
2017,48491,four or more,47937
2018,48021,one,4886
2018,48053,one,3711
2018,48055,one,3112
2018,48209,one,17885
2018,48453,one,145028
2018,48491,one,43539
2018,48021,two,8249
2018,48053,two,6922
2018,48055,two,4155
2018,48209,two,27671
2018,48453,two,162832
2018,48491,two,60594
2018,48021,three,3396
2018,48053,three,1946
2018,48055,three,1698
2018,48209,three,14060
2018,48453,three,66591
2018,48491,three,31918
2018,48021,four or more,8082
2018,48053,four or more,2568
2018,48055,four or more,4265
2018,48209,four or more,19009
2018,48453,four or more,98710
2018,48491,four or more,48179
2019,48021,one,5853
2019,48053,one,3873
2019,48055,one,3219
2019,48209,one,16707
2019,48453,one,147361
2019,48491,one,40406
2019,48021,two,8424
2019,48053,two,7220
2019,48055,two,4503
2019,48209,two,25625
2019,48453,two,155802
2019,48491,two,59109
2019,48021,three,4033
2019,48053,three,2452
2019,48055,three,1979
2019,48209,three,12454
2019,48453,three,68962
2019,48491,three,31709
2019,48021,four or more,7261
2019,48053,four or more,3198
2019,48055,four or more,3759
2019,48209,four or more,18651
2019,48453,four or more,100236
2019,48491,four or more,48936
2020,48021,one,5853
2020,48053,one,3873
2020,48055,one,3219
2020,48209,one,16707
2020,48453,one,147361
2020,48491,one,40406
2020,48021,two,8424
2020,48053,two,7220
2020,48055,two,4503
2020,48209,two,25625
2020,48453,two,155802
2020,48491,two,59109
2020,48021,three,4033
2020,48053,three,2452
2020,48055,three,1979
2020,48209,three,12454
2020,48453,three,68962
2020,48491,three,31709
2020,48021,four or more,7261
2020,48053,four or more,3198
2020,48055,four or more,3759
2020,48209,four or more,18651
2020,48453,four or more,100236
2020,48491,four or more,48936