year,count
2010,7169297
2011,7243090
2012,7344695
2013,7438456
2014,7561755
2015,7654870
2016,7684011
2017,7756158
2018,7753023
2019,7739378
2020,7787928
2021,7823826
2022,7869876
2023,7918707
2024,7969967
2025,8023612
2026,8074309
2027,8125511
2028,8175654
2029,8224922
2030,8272525
2031,8318419
2032,8363851
2033,8406979
2034,8448289
2035,8488108
2036,8526218
2037,8563019
2038,8597890
2039,8630787
2040,8661984
2041,8691264
2042,8719515
2043,8745405
2044,8770119
2045,8793716
2046,8815131
2047,8835943
2048,8854994
2049,8871962
2050,8889001